Transaction_ID,Customer_ID,Purchase_Date,Age,Gender,Location,Online_Offline,Online_Store,Category,Item_Purchased,Brand,Color,Size,Quantity,Purchase_Amount_,Discount_Pct,Festival_Sale,Shipping_Charge_,Delivery_Speed,Delivery_Time_Days,Subscription_Status,Payment_Method,Review_Rating,Return_Status,Previous_Purchases,Frequency_of_Purchases,Age_Group,Total_Purchase_Amount_,Net_Revenue_
TXN507808,CUST102534,2023-01-01,51,Male,Chennai,Online,Flipkart,Clothing,Kurta,Max,Yellow,M,2,1037,64,Regular Day,0,Same Day,1,Yes,Cash on Delivery,4,Not Returned,0,Fortnightly,Gen X (41-60),2074,2074
TXN503830,CUST101256,2023-01-01,27,Female,Mumbai,Offline,N/A - Offline,Clothing,Shirt,Puma,Black,L,1,2717,48,Regular Day,0,N/A - Offline,0,No,UPI,5,Not Returned,0,Fortnightly,Millennials (26-40),2717,2717
TXN501496,CUST100490,2023-01-01,57,Male,Hyderabad,Online,Flipkart,Clothing,Jacket,Roadster,Brown,XXL,1,1363,22,Regular Day,0,Standard,7,Yes,UPI,3,Not Returned,0,Rarely,Gen X (41-60),1363,1363
TXN501538,CUST100500,2023-01-01,22,Female,Pune,Online,Myntra,Clothing,Kurta,Puma,Grey,XS,1,1866,24,Regular Day,0,Standard,6,Yes,Net Banking,4,Not Returned,0,Fortnightly,Gen Z (18-25),1866,1866
TXN504265,CUST101399,2023-01-01,30,Male,Visakhapatnam,Online,Myntra,Accessories,Cap,Puma,Brown,Free Size,1,1577,30,Regular Day,99,Express,2,No,Debit Card,4,Not Returned,0,Weekly,Millennials (26-40),1577,1676
TXN509250,CUST102952,2023-01-01,57,Male,Kochi,Offline,N/A - Offline,Accessories,Watch,Roadster,Black,Not Applicable,1,662,68,Regular Day,0,N/A - Offline,0,No,Credit Card,5,Not Returned,0,Fortnightly,Gen X (41-60),662,662
TXN501814,CUST100596,2023-01-01,42,Male,Hyderabad,Online,Myntra,Footwear,Formal Shoes,Nike,Yellow,10,1,4550,54,Regular Day,0,Standard,4,No,UPI,3,Not Returned,0,Monthly,Gen X (41-60),4550,4550
TXN500031,CUST100007,2023-01-01,47,Male,Pune,Online,Myntra,Clothing,Jacket,H&M,Pink,S,2,2528,48,Regular Day,0,Standard,5,No,Credit Card,5,Not Returned,0,Monthly,Gen X (41-60),5056,5056
TXN501550,CUST100505,2023-01-01,37,Female,Ahmedabad,Offline,N/A - Offline,Clothing,Saree,H&M,Blue,M,1,1066,56,Regular Day,0,N/A - Offline,0,Yes,UPI,5,Returned,0,Fortnightly,Millennials (26-40),1066,1066
TXN505122,CUST101684,2023-01-01,33,Male,Visakhapatnam,Online,Amazon,Clothing,Hoodie,HRX,White,XS,1,414,59,Regular Day,49,Standard,4,Yes,Cash on Delivery,5,Returned,0,Weekly,Millennials (26-40),414,463
